country_code,year,region,export_value,import_value,diversity,diversity_075,hhi,entropy,primary_share,manufacturing_share,eci,diversity_complexity
BOL,1995,Latin America and Caribbean,928895391,1691833861,98,104,0.0539266198062633,3.47316116469715,0.506902807961074,0.493097192038926,-0.54113513475673,98
BOL,1996,Latin America and Caribbean,958379061,1841399056,98,112,0.0495172610215892,3.58537314098178,0.573631072893401,0.426368927106599,-0.572611325780978,98
BOL,1997,Latin America and Caribbean,967054709,2338901904,96,110,0.0538318720601948,3.48329053710603,0.599348638299222,0.400651361700778,-0.727211359127472,96
BOL,1998,Latin America and Caribbean,929814418,2421199988,107,119,0.04747479537128,3.68317649069186,0.551259372921447,0.448740627078553,-0.489381378530487,107
BOL,1999,Latin America and Caribbean,826108683,1779113174,109,125,0.0572176715037627,3.65771047943131,0.47664538347432,0.523354616525681,-0.537904837584354,109
BOL,2000,Latin America and Caribbean,1042874109,1515025519,117,133,0.0554215331069117,3.58589174680324,0.627929017844665,0.372070982155335,-0.558741923906427,117
BOL,2001,Latin America and Caribbean,1146917221,1420501659,104,123,0.0815277493279337,3.41460011042095,0.671248211208087,0.328751788791913,-0.899687385417941,104
BOL,2002,Latin America and Caribbean,1374809067,1475113553,100,113,0.0815330759987013,3.27231223471017,0.647383912692802,0.352616087307198,-0.903703242420951,100
BOL,2003,Latin America and Caribbean,1680748350,1820192620,93,119,0.0925214993965497,3.20885979411065,0.664854803516541,0.335145196483459,-0.856361345271988,93
BOL,2004,Latin America and Caribbean,2291855195,2173583734,101,116,0.108052005466551,3.1138311584896,0.72746777049324,0.27253222950676,-1.10897762275423,101
BOL,2005,Latin America and Caribbean,2678745044,2677674405,101,114,0.199907259723919,2.72791248850349,0.812993145382745,0.187006854617255,-0.933790098714364,101
BOL,2006,Latin America and Caribbean,3738795478,3114943926,95,109,0.217065023625394,2.64298702273043,0.794976703456899,0.205023296543101,-1.06631268815994,95
BOL,2007,Latin America and Caribbean,4299075156,3740176354,92,103,0.225289139647947,2.58153850759637,0.843799023363713,0.156200976636288,-1.03358486135712,92
BOL,2008,Latin America and Caribbean,6166937781,5170335641,95,105,0.270254740915276,2.49484963191065,0.837044311019943,0.162955688980057,-0.877433588825682,95
BOL,2009,Latin America and Caribbean,4623423092,4446113245,88,99,0.199122169647358,2.7144155455826,0.841236404414273,0.158763595585727,-1.02403345204565,88
BOL,2010,Latin America and Caribbean,5969798661,5348211652,92,108,0.211853242927834,2.6699741493984,0.840662881277027,0.159337118722973,-0.923739131304135,92
