country_id,country_code,product_id,product_code,year,export_value,import_value,source_export_rca,source_pci,total_country_exports,total_world_exports_product,total_world_exports,export_share_country,export_share_world_product,rca,mcp,mcp_075,product_chapter,product_section,region
68,BOL,650,0101,1995,24007,50207,0.126125,0.044,928895391,1018155630,4783875842339,0.0000258446755496928,0.000212830697023731,0.121433025926758,0,0,01,Animal products,Latin America and Caribbean
68,BOL,651,0102,1995,325830,7299938,0.332789,-0.457,928895391,5208104239,4783875842339,0.000350771468086658,0.00108867880577218,0.322199225544638,0,0,01,Animal products,Latin America and Caribbean
68,BOL,652,0103,1995,0,38662,0,0.024,928895391,1586684113,4783875842339,0,0.000331673347154473,0,0,0,01,Animal products,Latin America and Caribbean
68,BOL,653,0104,1995,0,1194,0,-1.035,928895391,866772784,4783875842339,0,0.000181186304278375,0,0,0,01,Animal products,Latin America and Caribbean
68,BOL,654,0105,1995,0,1401294,0,-0.168,928895391,927028221,4783875842339,0,0.000193781831207966,0,0,0,01,Animal products,Latin America and Caribbean
68,BOL,655,0106,1995,294192,19885,4.730611,-1.799,928895391,367412820,4783875842339,0.00031671165865436,0.0000768023318557447,4.123724514631,1,1,01,Animal products,Latin America and Caribbean
68,BOL,656,0201,1995,957821,2977114,0.539767,-0.074,928895391,9425735690,4783875842339,0.00103113979171418,0.00197031361194178,0.523337901877442,0,0,02,Animal products,Latin America and Caribbean
68,BOL,657,0202,1995,123277,194431,0.125622,-0.78,928895391,5219071952,4783875842339,0.000132713544705272,0.00109097144742122,0.121647129280031,0,0,02,Animal products,Latin America and Caribbean
68,BOL,658,0203,1995,0,3750,0,0.949,928895391,10241883645,4783875842339,0,0.00214091752849346,0,0,0,02,Animal products,Latin America and Caribbean
68,BOL,659,0204,1995,0,10634,0,-0.674,928895391,1950891063,4783875842339,0,0.000407805538290505,0,0,0,02,Animal products,Latin America and Caribbean
68,BOL,661,0206,1995,0,66691,0,-0.096,928895391,1668535092,4783875842339,0,0.000348783109551647,0,0,0,02,Animal products,Latin America and Caribbean
68,BOL,662,0207,1995,1683027,603729,1.119652,0.003,928895391,8264294100,4783875842339,0.00181185848945611,0.00172753105899155,1.04881384333187,1,1,02,Animal products,Latin America and Caribbean
68,BOL,665,0210,1995,8297,21637,0.028486,0.639,928895391,1551009648,4783875842339,0.00000893211450975969,0.000324216116620965,0.0275498781579759,0,0,02,Animal products,Latin America and Caribbean
68,BOL,666,0301,1995,71847,17653,0.411318,-1.584,928895391,1149922987,4783875842339,0.000077346707386128,0.000240374755720617,0.321775500735304,0,0,03,Animal products,Latin America and Caribbean
68,BOL,667,0302,1995,45598,1319937,0.052276,-1.534,928895391,5079341255,4783875842339,0.0000490884123678465,0.00106176276776375,0.0462329381460935,0,0,03,Animal products,Latin America and Caribbean
68,BOL,668,0303,1995,12120,10425,0.009052,-1.792,928895391,8366994909,4783875842339,0.000013047755557224,0.00174899917655662,0.00746012675827102,0,0,03,Animal products,Latin America and Caribbean
68,BOL,669,0304,1995,29715,35938,0.032871,-1.599,928895391,5494882141,4783875842339,0.0000319896086124514,0.00114862557518076,0.0278503363530078,0,0,03,Animal products,Latin America and Caribbean
68,BOL,670,0305,1995,3530,60624,0.008627,-2.044,928895391,2537168992,4783875842339,0.0000038002126334159,0.000530358453190853,0.00716536638673763,0,0,03,Animal products,Latin America and Caribbean
68,BOL,671,0306,1995,0,155223,0,-2.131,928895391,12184994672,4783875842339,0,0.00254709676287133,0,0,0,03,Animal products,Latin America and Caribbean
68,BOL,672,0307,1995,0,20587,0,-2.047,928895391,4963950094,4783875842339,0,0.00103764191580126,0,0,0,03,Animal products,Latin America and Caribbean
68,BOL,673,0401,1995,0,599511,0,0.365,928895391,2968418369,4783875842339,0,0.000620504893276795,0,0,0,04,Animal products,Latin America and Caribbean
68,BOL,674,0402,1995,1060841,13209029,0.682574,-0.077,928895391,8397916889,4783875842339,0.00114204571395058,0.00175546296889134,0.650566679097672,0,0,04,Animal products,Latin America and Caribbean
68,BOL,675,0403,1995,0,660747,0,-0.012,928895391,916711725,4783875842339,0,0.000191625317046646,0,0,0,04,Animal products,Latin America and Caribbean
68,BOL,676,0404,1995,0,18465,0,0.971,928895391,804213550,4783875842339,0,0.000168109201932547,0,0,0,04,Animal products,Latin America and Caribbean
68,BOL,677,0405,1995,0,40597,0,0.449,928895391,3466181134,4783875842339,0,0.000724554994367342,0,0,0,04,Animal products,Latin America and Caribbean
68,BOL,678,0406,1995,922,1336415,0.000484,0.374,928895391,10135755512,4783875842339,0.000000992576784138657,0.00211873297845545,0.000468476582104386,0,0,04,Animal products,Latin America and Caribbean
68,BOL,679,0407,1995,517456,819325,3.063729,-0.556,928895391,902809346,4783875842339,0.000557065957064265,0.000188719225948512,2.95182408821585,1,1,04,Animal products,Latin America and Caribbean
68,BOL,681,0409,1995,0,235585,0,-0.994,928895391,398915057,4783875842339,0,0.000083387418517316,0,0,0,04,Animal products,Latin America and Caribbean
68,BOL,686,0504,1995,0,42152,0,-0.766,928895391,1247924788,4783875842339,0,0.000260860613679691,0,0,0,05,Animal products,Latin America and Caribbean
68,BOL,687,0505,1995,0,9177,0,-0.542,928895391,875244309,4783875842339,0,0.00018295715395742,0,0,0,05,Animal products,Latin America and Caribbean
68,BOL,688,0506,1995,0,3112,0,-1.688,928895391,219302525,4783875842339,0,0.0000458420185279674,0,0,0,05,Animal products,Latin America and Caribbean
68,BOL,692,0510,1995,18907,0,0.865859,-1.188,928895391,125144504,4783875842339,0.0000203542833597718,0.000026159647140594,0.778079430902814,0,1,05,Animal products,Latin America and Caribbean
68,BOL,693,0511,1995,170043,67809,1.305189,-1.005,928895391,709501507,4783875842339,0.00018305936453936,0.000148311020265338,1.23429374440183,1,1,05,Animal products,Latin America and Caribbean
68,BOL,694,0601,1995,0,15922,0,-0.794,928895391,790135221,4783875842339,0,0.000165166331033724,0,0,0,06,Vegetable products,Latin America and Caribbean
68,BOL,695,0602,1995,1932,499241,0.003686,-0.955,928895391,2818066197,4783875842339,0.00000207988974724066,0.000589075948012512,0.00353076671057104,0,0,06,Vegetable products,Latin America and Caribbean
68,BOL,696,0603,1995,618265,2305,0.964818,-1.344,928895391,3413862447,4783875842339,0.000665591632804215,0.000713618530143718,0.932699481150201,0,1,06,Vegetable products,Latin America and Caribbean
68,BOL,697,0604,1995,100035,0,1.059233,-0.982,928895391,505578027,4783875842339,0.000107692427984068,0.000105683768488608,1.01900631974224,1,1,06,Vegetable products,Latin America and Caribbean
68,BOL,698,0701,1995,0,24964,0,-0.513,928895391,2168578718,4783875842339,0,0.000453309991619621,0,0,0,07,Vegetable products,Latin America and Caribbean
68,BOL,699,0702,1995,0,2267,0,-0.593,928895391,2567251621,4783875842339,0,0.000536646791348327,0,0,0,07,Vegetable products,Latin America and Caribbean
68,BOL,700,0703,1995,80186,43637,0.293703,-1.353,928895391,1504689714,4783875842339,0.000086324036890393,0.000314533604882251,0.274450918917581,0,0,07,Vegetable products,Latin America and Caribbean
68,BOL,706,0709,1995,3504,8997,0.005337,-1.201,928895391,3558045312,4783875842339,0.00000377222239872218,0.000743757871078099,0.0050718419870357,0,0,07,Vegetable products,Latin America and Caribbean
68,BOL,707,0710,1995,18236,0,0.052697,-0.994,928895391,1909382614,4783875842339,0.0000196319199951763,0.000399128797846567,0.049186929384943,0,0,07,Vegetable products,Latin America and Caribbean
68,BOL,708,0711,1995,0,1404,0,-1.414,928895391,422073931,4783875842339,0,0.000088228445910844,0,0,0,07,Vegetable products,Latin America and Caribbean
68,BOL,709,0712,1995,6312,27677,0.028667,-1.063,928895391,1281262616,4783875842339,0.00000679516774564339,0.000267829404070309,0.0253712536501764,0,0,07,Vegetable products,Latin America and Caribbean
68,BOL,710,0713,1995,3523051,522867,7.22137,-1.615,928895391,2629829940,4783875842339,0.00379273170492026,0.000549727883137157,6.89928930523973,1,1,07,Vegetable products,Latin America and Caribbean
68,BOL,711,0714,1995,1304,0,0.011152,-2.068,928895391,637384653,4783875842339,0.00000140381792463862,0.00013323603580154,0.010536323121544,0,0,07,Vegetable products,Latin America and Caribbean
68,BOL,712,0801,1995,2485581,66183,13.516236,-2.486,928895391,1035777607,4783875842339,0.00267584598231686,0.000216514316243954,12.358748505581,1,1,08,Vegetable products,Latin America and Caribbean
68,BOL,713,0802,1995,8309844,39684,14.315402,-1.533,928895391,3141794847,4783875842339,0.00894594168569839,0.000656746736442029,13.621600518586,1,1,08,Vegetable products,Latin America and Caribbean
68,BOL,714,0803,1995,170152,0,0.227595,-1.474,928895391,4593228080,4783875842339,0.000183176708215576,0.000960147844839178,0.190779690023943,0,0,08,Vegetable products,Latin America and Caribbean
68,BOL,715,0804,1995,147531,1055,0.637962,-1.873,928895391,1266495746,4783875842339,0.000158824127484555,0.000264742603641813,0.599919035696417,0,0,08,Vegetable products,Latin America and Caribbean
68,BOL,716,0805,1995,7519,152998,0.008635,-0.979,928895391,4676945422,4783875842339,0.00000809456056392468,0.000977647743406585,0.00827962895482111,0,0,08,Vegetable products,Latin America and Caribbean
68,BOL,717,0806,1995,0,1196140,0,-0.861,928895391,2386852125,4783875842339,0,0.000498936887925793,0,0,0,08,Vegetable products,Latin America and Caribbean
68,BOL,719,0808,1995,5607,4081783,0.008819,-0.088,928895391,3429016581,4783875842339,0.00000603620176644843,0.00071678628250591,0.00842120156840286,0,0,08,Vegetable products,Latin America and Caribbean
68,BOL,720,0809,1995,4660,415058,0.015918,-0.494,928895391,1573941462,4783875842339,0.00000501671129510427,0.000329009680408103,0.0152479139485548,0,0,08,Vegetable products,Latin America and Caribbean
68,BOL,721,0810,1995,1035,52691,0.003152,-0.855,928895391,1767967784,4783875842339,0.00000111422665030749,0.00036956807456265,0.00301494292120898,0,0,08,Vegetable products,Latin America and Caribbean
68,BOL,722,0811,1995,606,64536,0.003439,-0.682,928895391,941755438,4783875842339,0.0000006523877778612,0.000196860342750773,0.00331396241998383,0,0,08,Vegetable products,Latin America and Caribbean
68,BOL,723,0812,1995,0,943,0,-0.516,928895391,264225993,4783875842339,0,0.0000552326192627129,0,0,0,08,Vegetable products,Latin America and Caribbean
68,BOL,724,0813,1995,1600,350174,0.014004,-1.157,928895391,614421504,4783875842339,0.00000172247598115168,0.000128435921886214,0.0134111699893249,0,0,08,Vegetable products,Latin America and Caribbean
68,BOL,726,0901,1995,13999074,274629,5.72591,-2.269,928895391,13206932045,4783875842339,0.0150706679521031,0.00276071797852987,5.4589668590953,1,1,09,Vegetable products,Latin America and Caribbean
68,BOL,727,0902,1995,0,1362722,0,-2.124,928895391,1829001471,4783875842339,0,0.000382326283389859,0,0,0,09,Vegetable products,Latin America and Caribbean
68,BOL,728,0903,1995,0,822622,0,-1.669,928895391,72261167,4783875842339,0,0.0000151051510075707,0,0,0,09,Vegetable products,Latin America and Caribbean
68,BOL,729,0904,1995,58026,66698,0.358421,-1.643,928895391,872375236,4783875842339,0.0000624677445514422,0.000182357415775545,0.342556645068554,0,0,09,Vegetable products,Latin America and Caribbean
68,BOL,730,0905,1995,0,2728,0,-1.664,928895391,108924206,4783875842339,0,0.0000227690286265338,0,0,0,09,Vegetable products,Latin America and Caribbean
68,BOL,731,0906,1995,2196,37998,0.089524,-1.674,928895391,145097442,4783875842339,0.00000236409828413068,0.0000303305200180649,0.0779445351653261,0,0,09,Vegetable products,Latin America and Caribbean
68,BOL,732,0907,1995,0,4943,0,-2.284,928895391,31338042,4783875842339,0,0.00000655076407348351,0,0,0,09,Vegetable products,Latin America and Caribbean
68,BOL,733,0908,1995,2071,9451,0.109658,-1.848,928895391,108485316,4783875842339,0.00000222952984810321,0.0000226772850248049,0.0983155543383832,0,0,09,Vegetable products,Latin America and Caribbean
68,BOL,734,0909,1995,3240,62001,0.143753,-1.575,928895391,138721052,4783875842339,0.00000348801386183216,0.0000289976279844618,0.120286178707486,0,0,09,Vegetable products,Latin America and Caribbean
68,BOL,735,0910,1995,1507,11608,0.020267,-1.416,928895391,421767816,4783875842339,0.00000162235706474724,0.0000881644570009959,0.0184014864939157,0,0,09,Vegetable products,Latin America and Caribbean
68,BOL,736,1001,1995,0,28080599,0,-0.166,928895391,16340457760,4783875842339,0,0.00341573617261994,0,0,0,10,Vegetable products,Latin America and Caribbean
68,BOL,738,1003,1995,0,87381,0,0.196,928895391,2595731279,4783875842339,0,0.000542600051620666,0,0,0,10,Vegetable products,Latin America and Caribbean
68,BOL,739,1004,1995,0,8075,0,0.357,928895391,296776917,4783875842339,0,0.0000620369187622762,0,0,0,10,Vegetable products,Latin America and Caribbean
68,BOL,740,1005,1995,746096,2844430,0.358005,-1.339,928895391,10610517258,4783875842339,0.000803207774770841,0.00221797504945533,0.3621356222957,0,0,10,Vegetable products,Latin America and Caribbean
68,BOL,741,1006,1995,639649,1653960,0.542487,-1.549,928895391,6514661915,4783875842339,0.000688612524292308,0.00136179577599881,0.505665046425367,0,0,10,Vegetable products,Latin America and Caribbean
68,BOL,742,1007,1995,11232,293335,0.069171,-1.301,928895391,826868066,4783875842339,0.0000120917813876848,0.000172844800586571,0.0699574493803098,0,0,10,Vegetable products,Latin America and Caribbean
68,BOL,743,1008,1995,1244027,12508,30.112,-1.135,928895391,219918962,4783875842339,0.00133925414212761,0.0000459708757601188,29.1326654100738,1,1,10,Vegetable products,Latin America and Caribbean
68,BOL,744,1101,1995,602458,28336432,1.468025,-0.568,928895391,2204709873,4783875842339,0.000648574646657925,0.000460862686587209,1.40730561517307,1,1,11,Vegetable products,Latin America and Caribbean
68,BOL,745,1102,1995,45625,2506280,1.160956,-1.367,928895391,211529082,4783875842339,0.0000491174791500284,0.0000442170927865419,1.11082561187691,1,1,11,Vegetable products,Latin America and Caribbean
68,BOL,746,1103,1995,0,1434343,0,-0.598,928895391,476819873,4783875842339,0,0.0000996722926585959,0,0,0,11,Vegetable products,Latin America and Caribbean
68,BOL,747,1104,1995,1035,626049,0.004686,-1.036,928895391,1189365757,4783875842339,0.00000111422665030749,0.000248619695869548,0.00448165076548133,0,0,11,Vegetable products,Latin America and Caribbean
68,BOL,748,1105,1995,0,79290,0,0.448,928895391,214095391,4783875842339,0,0.0000447535425366143,0,0,0,11,Vegetable products,Latin America and Caribbean
68,BOL,749,1106,1995,1412,0,0.04686,-1.959,928895391,164441680,4783875842339,0.00000152008505336636,0.0000343741529712441,0.044221745758739,0,0,11,Vegetable products,Latin America and Caribbean
68,BOL,750,1107,1995,0,2489794,0,0.185,928895391,1506676044,4783875842339,0,0.000314948818417356,0,0,0,11,Vegetable products,Latin America and Caribbean
68,BOL,751,1108,1995,5354,798370,0.029287,-0.269,928895391,987492550,4783875842339,0.00000576383525192882,0.000206421023986522,0.0279227141722985,0,0,11,Vegetable products,Latin America and Caribbean
68,BOL,753,1201,1995,45324636,17930,34.065628,-1.186,928895391,6774024201,4783875842339,0.0487941230402768,0.00141601170771354,34.4588415296831,1,1,12,Vegetable products,Latin America and Caribbean
68,BOL,754,1202,1995,39640,3408,0.230819,-1.51,928895391,924587365,4783875842339,0.0000426743424330329,0.000193271605591657,0.220799854703929,0,0,12,Vegetable products,Latin America and Caribbean
68,BOL,756,1204,1995,0,2746,0,-0.384,928895391,230493342,4783875842339,0,0.0000481812968388628,0,0,0,12,Vegetable products,Latin America and Caribbean
68,BOL,758,1206,1995,359530,710188,1.886338,-0.672,928895391,1012341605,4783875842339,0.000387051118439665,0.000211615359253352,1.82903131325301,1,1,12,Vegetable products,Latin America and Caribbean
68,BOL,759,1207,1995,21935,707329,0.135423,-2.181,928895391,887926041,4783875842339,0.0000236140691541013,0.00018560808646862,0.127225432918267,0,0,12,Vegetable products,Latin America and Caribbean
68,BOL,760,1208,1995,23069578,73691,620.251526,-0.991,928895391,203042976,4783875842339,0.0248354962501908,0.0000424431951605009,585.146715657815,1,1,12,Vegetable products,Latin America and Caribbean
68,BOL,761,1209,1995,22613,1338466,0.062533,-0.574,928895391,1961956885,4783875842339,0.0000243439683511144,0.000410118688205907,0.0593583493051944,0,0,12,Vegetable products,Latin America and Caribbean
68,BOL,762,1210,1995,0,430495,0,0.53,928895391,320499489,4783875842339,0,0.0000669957790633832,0,0,0,12,Vegetable products,Latin America and Caribbean
68,BOL,763,1211,1995,442490,170302,1.817559,-1.951,928895391,1503341791,4783875842339,0.00047636149806238,0.00031425184108979,1.51585905244154,1,1,12,Vegetable products,Latin America and Caribbean
68,BOL,764,1212,1995,151085,15620,1.352233,-1.704,928895391,632128041,4783875842339,0.000162650177257689,0.000132137217150462,1.23091874314624,1,1,12,Vegetable products,Latin America and Caribbean
68,BOL,766,1214,1995,0,6146,0,-0.36,928895391,675989460,4783875842339,0,0.000141305811914526,0,0,0,12,Vegetable products,Latin America and Caribbean
68,BOL,767,1301,1995,1917,103303,0.025992,-2.155,928895391,430142566,4783875842339,0.00000206374153491736,0.000089915077267074,0.0229521187952433,0,0,13,Vegetable products,Latin America and Caribbean
68,BOL,768,1302,1995,5506,324930,0.016842,-1.074,928895391,1757681150,4783875842339,0.00000592747047013823,0.000367417802620189,0.0161327797070999,0,0,13,Vegetable products,Latin America and Caribbean
68,BOL,769,1401,1995,0,8859,0,-1.716,928895391,209826587,4783875842339,0,0.00004386121084978,0,0,0,14,Vegetable products,Latin America and Caribbean
68,BOL,770,1402,1995,0,1389,0,-1.33,928895391,7866975,4783875842339,0,0.0000016444772521842,0,0,0,14,Vegetable products,Latin America and Caribbean
68,BOL,772,1404,1995,226481,121994,3.982761,-1.722,928895391,312706153,4783875842339,0.000243817551679509,0.0000653666949782516,3.72999662535531,1,1,14,Vegetable products,Latin America and Caribbean
68,BOL,773,1501,1995,0,6571239,0,0.831,928895391,291036699,4783875842339,0,0.0000608370092769177,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,774,1502,1995,0,269030,0,-0.02,928895391,1093501873,4783875842339,0,0.000228580738513763,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,775,1503,1995,0,3075,0,-0.613,928895391,66672473,4783875842339,0,0.0000139369154211581,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,776,1504,1995,0,39056,0,-1.152,928895391,406316235,4783875842339,0,0.0000849345276488903,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,777,1505,1995,0,10027,0,1.037,928895391,65003192,4783875842339,0,0.0000135879763903358,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,778,1506,1995,0,8301,0,0.728,928895391,81084464,4783875842339,0,0.0000169495335314461,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,779,1507,1995,31541015,308349,44.973106,-0.846,928895391,3737227392,4783875842339,0.0339554004741531,0.000781213291307481,43.4649549002468,1,1,15,Fats and oils,Latin America and Caribbean
68,BOL,780,1508,1995,0,1656,0,-0.676,928895391,317368650,4783875842339,0,0.0000663413224881747,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,781,1509,1995,0,139387,0,-1.114,928895391,2182730945,4783875842339,0,0.000456268309825697,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,783,1511,1995,15514,0,0.016132,-2.952,928895391,5237088330,4783875842339,0.000016701557732242,0.00109473751046169,0.015256221306602,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,784,1512,1995,716501,129393,1.468744,-0.346,928895391,2593698381,4783875842339,0.000771347351856976,0.000542175103719216,1.42269046764723,1,1,15,Fats and oils,Latin America and Caribbean
68,BOL,785,1513,1995,0,35791,0,-2.338,928895391,1440579337,4783875842339,0,0.000301132258544497,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,786,1514,1995,0,37481,0,0.831,928895391,1807577255,4783875842339,0,0.000377847861142695,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,787,1515,1995,0,280648,0,-1.101,928895391,1391396411,4783875842339,0,0.000290851279768937,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,788,1516,1995,72760,187886,0.220657,-0.29,928895391,1754474339,4783875842339,0.0000783295952428727,0.000366747465198047,0.213579104631505,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,789,1517,1995,1401675,6717125,5.003888,-0.254,928895391,1521040538,4783875842339,0.00150896970055049,0.000317951507967295,4.74591144479083,1,1,15,Fats and oils,Latin America and Caribbean
68,BOL,790,1518,1995,0,36822,0,0.612,928895391,356007861,4783875842339,0,0.0000744182902593759,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,791,1519,1995,0,34066,0,0.222,928895391,2292956930,4783875842339,0,0.00047930945650941,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,792,1520,1995,0,151379,0,-1.401,928895391,658259348,4783875842339,0,0.000137599588637768,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,793,1521,1995,0,11712,0,-1.575,928895391,123494333,4783875842339,0,0.0000258147027786615,0,0,0,15,Fats and oils,Latin America and Caribbean
68,BOL,795,1601,1995,47781,516335,0.196441,0.316,928895391,1308957379,4783875842339,0.0000514385155346303,0.000273618593403964,0.187993494501625,0,0,16,Foodstuffs,Latin America and Caribbean
68,BOL,796,1602,1995,108225,2128548,0.139089,-0.362,928895391,4166206027,4783875842339,0.000116509351912588,0.000870885065646478,0.133782695913037,0,0,16,Foodstuffs,Latin America and Caribbean
68,BOL,798,1604,1995,0,6166468,0,-1.464,928895391,5592568701,4783875842339,0,0.00116904553657179,0,0,0,16,Foodstuffs,Latin America and Caribbean
68,BOL,799,1605,1995,0,176279,0,-1.343,928895391,3092798355,4783875842339,0,0.000646504728995606,0,0,0,16,Foodstuffs,Latin America and Caribbean
68,BOL,800,1701,1995,17555384,346463,8.975184,-1.44,928895391,10965144961,4783875842339,0.0188992045499341,0.00229210483766208,8.24534909546765,1,1,17,Foodstuffs,Latin America and Caribbean
68,BOL,801,1702,1995,6024,1763545,0.024143,0.667,928895391,1332251271,4783875842339,0.00000648512206903608,0.000278487844356056,0.023286912518683,0,0,17,Foodstuffs,Latin America and Caribbean
68,BOL,802,1703,1995,0,917,0,-1.487,928895391,700574421,4783875842339,0,0.00014644494215332,0,0,0,17,Foodstuffs,Latin America and Caribbean
68,BOL,803,1704,1995,168207,17270157,0.2477,-0.431,928895391,3746011606,4783875842339,0.000181082823350988,0.000783049504095919,0.231253352953796,0,0,17,Foodstuffs,Latin America and Caribbean
68,BOL,804,1801,1995,154018,0,0.340045,-2.623,928895391,2431299680,4783875842339,0.000165807691040637,0.000508228005936554,0.32624666311942,0,0,18,Foodstuffs,Latin America and Caribbean
68,BOL,806,1803,1995,4142,0,0.045186,-1.351,928895391,486954792,4783875842339,0.00000445905969620642,0.000101790850776326,0.0438060951666933,0,0,18,Foodstuffs,Latin America and Caribbean
68,BOL,807,1804,1995,61163,80112,0.222076,-1.644,928895391,1465124668,4783875842339,0.0000658448740219877,0.00030626310470542,0.2149944704744,0,0,18,Foodstuffs,Latin America and Caribbean
68,BOL,808,1805,1995,1805,242126,0.029705,-1.76,928895391,323038639,4783875842339,0.00000194316821623674,0.0000675265516176221,0.0287763578871935,0,0,18,Foodstuffs,Latin America and Caribbean
68,BOL,809,1806,1995,4944,9570932,0.00359,0.77,928895391,7358255490,4783875842339,0.0000053224507817587,0.00153813680214625,0.00346032340838083,0,0,18,Foodstuffs,Latin America and Caribbean
68,BOL,810,1901,1995,0,3351891,0,0.192,928895391,3144872420,4783875842339,0,0.000657390058530943,0,0,0,19,Foodstuffs,Latin America and Caribbean
68,BOL,811,1902,1995,958482,1990362,2.400785,-0.722,928895391,2193937340,4783875842339,0.00103185138960389,0.000458610844492007,2.24994982564542,1,1,19,Foodstuffs,Latin America and Caribbean
68,BOL,812,1903,1995,0,39428,0,-1.376,928895391,21707664,4783875842339,0,0.0000045376729487583,0,0,0,19,Foodstuffs,Latin America and Caribbean
68,BOL,813,1904,1995,7345,1411467,0.034112,-0.29,928895391,1148589999,4783875842339,0.00000790724130097444,0.000240096113873728,0.0329336496680369,0,0,19,Foodstuffs,Latin America and Caribbean
68,BOL,814,1905,1995,1553,6852162,0.001232,-0.001,928895391,6775952602,4783875842339,0.00000167187824920535,0.0014164148120297,0.0011803591963357,0,0,19,Foodstuffs,Latin America and Caribbean
68,BOL,815,2001,1995,670065,183723,5.680993,-1.008,928895391,632507337,4783875842339,0.000721356792694001,0.000132216503489093,5.45587558026378,1,1,20,Foodstuffs,Latin America and Caribbean
68,BOL,816,2002,1995,7335,251951,0.024222,-1.04,928895391,1611766938,4783875842339,0.00000789647582609224,0.000336916548656069,0.0234374828354102,0,0,20,Foodstuffs,Latin America and Caribbean
68,BOL,817,2003,1995,0,24176,0,-0.801,928895391,836140908,4783875842339,0,0.000174783153985698,0,0,0,20,Foodstuffs,Latin America and Caribbean
68,BOL,818,2004,1995,0,25635,0,0.366,928895391,1685017488,4783875842339,0,0.000352228515858835,0,0,0,20,Foodstuffs,Latin America and Caribbean
