country_code,hhi,diversity,primary_share,eci
ECU,0.15287916494956,74,0.874848702617769,-0.928871715922724
BOL,0.124386325577729,82,0.62675317377114,-1.23580815913559
PRY,0.11787712012345,97,0.8479323959359,-0.560215542545488
PER,0.117528052475258,147,0.691992308513786,-0.66383016284518
CHL,0.105409694838601,121,0.544319408387417,-0.528234347761655
COL,0.0953712067418492,150,0.67326098914788,0.0740287732065023
URY,0.0651972187839122,118,0.560869298705366,0.124830137641365
