product_code,product_section,product_chapter,world_export_value,pci_final,ubiquity,product_name,product_name_short,natural_resource,demand_growth,density,opportunity_gain,world_market_size,density_n,pci_n,opportunity_gain_n,world_market_n,demand_growth_n,opportunity_score,distance,opportunity_type
3002,Chemicals,30,296188013973,1.79682156928037,18,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes; vaccines, toxins, cultures of micr",Serums and vaccines,FALSE,0.125886987613973,0.0436848215582935,130.403582950071,296188013973,0.198319945288679,0.756784316878035,0.869385400733247,0.930269602577477,0.745163753780729,0.600028475853016,0.956315178441706,Long shots
8419,Machinery and electrical,84,48325233332,1.28782496272827,31,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 8514), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting,",Equipment for temperature change of materials,FALSE,0.0486087762411573,0.0464998308104532,145.994731651521,48325233332,0.221302864002234,0.675875952434385,0.97668267266624,0.836324500682057,0.676649939868632,0.593058969097695,0.953500169189547,Long shots
8413,Machinery and electrical,84,70794380389,1.58202742348399,25,"Pumps for liquids, whether or not fitted with a measuring device; liquid elevators; part thereof",Pumps for liquids,FALSE,0.0245983420860507,0.0436338252162978,142.008677142907,70794380389,0.197903589718309,0.722641372102475,0.94925090463297,0.856109309324142,0.655362614652014,0.590923972751237,0.956366174783702,Long shots
8483,Machinery and electrical,84,64840930966,1.5844376006897,25,"Transmission shafts (including camshafts and crankshafts) and cranks; bearing housings, housed bearings and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and other speed changers, including torque converters; flywheels and pul",Transmission shafts,FALSE,0.0253063303040866,0.0444343626160528,139.926791169297,64840930966,0.204439513524462,0.723024485650234,0.934923500685938,0.851557630084614,0.655990307402154,0.590049445031985,0.955565637383947,Long shots
8466,Machinery and electrical,84,18991845624,1.8534138553019,24,"Parts and accessories suitable for use solely or principally with the machines of headings 8456 to 8465, including work or tool holders, self-opening dieheads, dividing heads and other special attachments for machine tools; tool holders for any type of to",Parts and accessories for metal working machines,FALSE,-0.0031733874437353,0.0433575506867592,139.514761540568,18991845624,0.195647968337975,0.765780033633685,0.932087939563096,0.787930946409606,0.630740575978766,0.588206537478169,0.956642449313241,Long shots
8708,Transport equipment,87,424937209118,1.03630504143251,29,Parts and accessories of the motor vehicles of headings 8701 to 8705,Parts of motor vehicles,FALSE,0.0183667583303573,0.0532795348432311,127.24398763885,424937209118,0.276655217308979,0.635895203653198,0.84764127117628,0.948972548962346,0.649837777026626,0.585212413805596,0.946720465156769,Long shots
8479,Machinery and electrical,84,203619449962,2.24847520820471,18,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter; parts thereof",Machines n.e.c.,FALSE,0.103147804319249,0.0377892098577859,120.371014313113,203619449962,0.150185693376185,0.828577638778407,0.800341915494345,0.910851868374467,0.72500350233221,0.583363322545803,0.962210790142214,Long shots
8408,Machinery and electrical,84,44110799758,1.37728464022421,17,Compression-ignition internal combustion piston engines (diesel or semi-diesel engines),Compression-ignition internal combustion piston engines,FALSE,-0.0129795393944929,0.0460897860548003,140.692133197572,44110799758,0.217955086270825,0.690096157631592,0.940190534777011,0.831596301942091,0.622046574681212,0.582210714220419,0.9539102139452,Long shots
8481,Machinery and electrical,84,101520442179,1.31128654720138,25,"Taps, cocks, valves and similar appliances, for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves; parts thereof",Appliances for thermostatically controlled valves,FALSE,0.0318620854557106,0.0440772034656588,140.55811801974,101520442179,0.20152351610278,0.679605325877235,0.939268251034209,0.874788087265177,0.661802550989738,0.581947276137615,0.955922796534341,Long shots
3926,Plastics and rubber,39,133811757081,1.03512981089685,28,Other articles of plastics and articles of other materials of headings 3901 to 3914,Other articles of plastic,FALSE,0.122081441222244,0.0482403977063621,132.41956672153,133811757081,0.235513583719581,0.635708393015838,0.883259270008747,0.889098400764362,0.741789807972655,0.581097527431264,0.951759602293638,Long shots
7220,Metals,72,5265349877,1.66170364072168,18,"Flat-rolled products of stainless steel, of a width of less than 600 mm",Flat-rolled products of stainless steel of a width < 600 mm,FALSE,0.0108481306843491,0.0446606045949084,136.563915499351,5265349877,0.206286648131797,0.735306431827384,0.911780408913518,0.721457744926039,0.643171863747037,0.574845977452986,0.955339395405092,Long shots
8514,Machinery and electrical,85,6460693393,1.42960679005924,19,Industrial or laboratory electric furnaces and ovens (including those functioning by induction or dielectric loss); other industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss; parts thereof,Industrial electric furnaces,FALSE,0.0429519710788222,0.0401927666942373,149.382925137074,6460693393,0.169809341629984,0.69841310810402,1,0.732058797929283,0.671634693147153,0.574405895704143,0.959807233305763,Long shots
7326,Metals,73,64246807957,0.850571249256656,37,Other articles of iron or steel,Other articles of iron or steel,FALSE,0.0549165302210635,0.054546714224265,126.315561871629,64246807957,0.28700100238498,0.606371593567348,0.84125190539428,0.851080660092367,0.682242308981546,0.573625927212827,0.945453285775735,Long shots
8428,Machinery and electrical,84,36100967190,1.23882879065291,28,"Other lifting, handling, loading or unloading machinery (for example, elevators, escalators, conveyors, teleferics)",Other lifting machinery,FALSE,0.0356058428463706,0.0459946268858861,135.96975550218,36100967190,0.217178166819378,0.668087688042074,0.907691438433604,0.821213088070909,0.665121715507642,0.573206048441877,0.954005373114114,Long shots
8208,Metals,82,3385127738,1.59028006804516,21,"Knives and cutting blades, for machines or for mechanical appliances,and base metal parts thereof",Knives and blades for machines,FALSE,0.0309117368094214,0.0403299104525871,146.540534087083,3385127738,0.170929040916161,0.723953184333016,0.980438849550422,0.698567574357419,0.660959984771566,0.572853986226894,0.959670089547413,Long shots
7222,Metals,72,7395008827,1.56334276978346,17,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel",Other bars and rods of stainless steel,FALSE,0.041009066230125,0.0434387979004947,136.281465159881,7395008827,0.196311304739997,0.719671323281626,0.909836604036661,0.739057558688467,0.669912140064107,0.571491078161995,0.956561202099505,Long shots
3914,Plastics and rubber,39,2229375139,1.54585659243016,17,"Ion-exchangers based on polymers of headings 3901 to 3913, in primary forms",Ion-exchangers based on polymers,FALSE,0.0937298951144567,0.0401009174117419,144.070645945706,2229375139,0.169059445482442,0.716891780173057,0.963441239905103,0.676925433785904,0.716653711786654,0.570439913500396,0.959899082588258,Long shots
7318,Metals,73,44983714087,1.80164533904021,20,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel",Screws and similar articles of iron or steel,FALSE,0.0292993371305397,0.0364928123507353,136.506851912773,44983714087,0.139601359238689,0.757551086865688,0.91138770101984,0.832611687938498,0.659530453088724,0.569740001756653,0.963507187649265,Long shots
6804,Stone and glass,68,4967304181,1.48801600078974,20,"Millstones, grindstones, grinding wheels and the like, without frameworks, for grinding, sharpening, polishing, trueing or cutting, hand sharpening or polishing stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives,",Grindstones,FALSE,0.0119127326730044,0.0438913966335321,138.936245110044,4967304181,0.200006511028671,0.707697637014069,0.928106627092016,0.718438390917614,0.644115725428686,0.568803425166585,0.956108603366468,Long shots
3908,Plastics and rubber,39,13798109330,1.70177584760588,14,Polyamides in primary forms,Polyamides,FALSE,-0.014819077754989,0.0421515575002354,134.159834159177,13798109330,0.185801733071177,0.741676173151615,0.895235677396613,0.771376763378342,0.620415664924422,0.568676028172415,0.957848442499765,Long shots
5603,Textiles and apparel,56,15971751189,1.15093772949663,27,"Nonwovens, whether or not impregnated, coated, covered or laminated",Nonwoven textiles,FALSE,0.0113867485990979,0.0514652724997611,127.442488781128,15971751189,0.261842816982747,0.654116824747833,0.84900734313479,0.778956975446162,0.643649395083816,0.567236297810876,0.948534727500239,Long shots
