variable,min,p10,p25,median,p75,p90,max,mean,sd,missing
density,0.0193940651128924,0.0398829543790243,0.0455521163430162,0.0547641000258806,0.0665745582316706,0.0769421975756743,0.141876735275205,0.0571633303254509,0.0157228865346489,0
pci,-2.96412807828102,-1.19998360779043,-0.571635678838422,0.161025229686271,0.801692820883625,1.2209531179418,3.32689770195945,0.0854298497655596,0.957427597360646,0
opportunity_gain,4.0749557864048,42.7932926624969,59.1236993412542,81.233358583156,102.155870148053,120.034256627257,149.382925137074,80.5817899096917,29.1164101405712,0
world_market_size,4726,337651772,1068069675.25,3671209962,11715350725.75,33728064930.1,1137646536674,17312377723.6186,66460068828.5533,0
demand_growth,-0.714599314110652,-0.0389241510676789,-0.00461336354738007,0.0246581344907937,0.0524820538403295,0.0825738068685981,0.413322297025503,0.0209325263643209,0.0781593835805421,1
opportunity_score,0.23820998160354,0.405896231263207,0.43496882260536,0.470217019661292,0.506695195209904,0.537565425852079,0.600028475853016,0.469344780187848,0.0519417341058086,0
