"product_code","product_name_short","product_section","product_chapter","pci_final","ubiquity","density","opportunity_score","relative_category"
"8208","Knives and blades for machines","Metals","82","1.59028006804516","21","0.0403299104525871","0.572853986226894","Excluded from relative universe"
"8213","Scissors","Metals","82","0.839095493771523","7","0.0402188800153543","0.411598592233234","Middle-range candidates"
"8214","Other cutlery","Metals","82","-0.0655856463541125","5","0.044699502100231","0.355080928845231","Low-priority products"
"8303","Safes","Metals","83","0.669029882763049","20","0.0472601441682758","0.495439303403255","Middle-range candidates"
"8309","Stoppers, caps and lids of metal","Metals","83","0.0106502057546141","37","0.0659927971308207","0.513320244673741","Middle-range candidates"
"8402","Steam boilers","Machinery and electrical","84","0.225119673921004","20","0.0514709367088489","0.481505202558307","Middle-range candidates"
"8403","Central heating boilers","Machinery and electrical","84","0.706408304016367","27","0.051381501626168","0.525310854911267","Middle-range candidates"
"8404","Auxiliary parts for use with boilers","Machinery and electrical","84","1.09606148797751","23","0.0473739633339923","0.549851257008421","Excluded from relative universe"
"8409","Parts suitable for use with spark-ignition engines","Machinery and electrical","84","0.897795056674375","28","0.054774488632884","0.539196944460897","Excluded from relative universe"
"8412","Other engines and motors","Machinery and electrical","84","0.839231205200126","29","0.0478476049379811","0.537519891676196","Excluded from relative universe"
"8413","Pumps for liquids","Machinery and electrical","84","1.58202742348399","25","0.0436338252162978","0.590923972751237","Transformational long shots"
"8414","Pumps, compressors, fans, etc.","Machinery and electrical","84","1.49344428895028","23","0.0419691908937323","0.561450369506974","Transformational long shots"
"8416","Furnace burners","Machinery and electrical","84","0.998239505185588","19","0.0480760186138891","0.526924223428449","Transformational long shots"
"8417","Industrial furnaces","Machinery and electrical","84","1.19148735135431","18","0.0415483090763832","0.535248101779914","Transformational long shots"
"8418","Refrigerators, freezers","Machinery and electrical","84","0.595180166073555","28","0.054890623263252","0.543672775059015","Excluded from relative universe"
"8419","Equipment for temperature change of materials","Machinery and electrical","84","1.28782496272827","31","0.0464998308104532","0.593058969097695","Transformational long shots"
"8420","Calendering or other rolling machines, other than for metals or glass","Machinery and electrical","84","1.64747617837686","16","0.034150063007599","0.511782779686168","Excluded from relative universe"
"8422","Dish washing machines","Machinery and electrical","84","0.995183005224012","23","0.0483782502056517","0.551435729668492","Excluded from relative universe"
"8424","Sprays and powder dispersers","Machinery and electrical","84","0.951980085575122","29","0.0503652939844216","0.550272666789112","Excluded from relative universe"
"8428","Other lifting machinery","Machinery and electrical","84","1.23882879065291","28","0.0459946268858861","0.573206048441877","Transformational long shots"
"8431","Parts for use with hoists and excavation machinery","Machinery and electrical","84","0.66278406860745","41","0.0539047142610593","0.542552727915245","Middle-range candidates"
"8432","Machinery for soil preparation or cultivation","Machinery and electrical","84","0.743273200994577","28","0.0566624431788316","0.562800015648298","Middle-range candidates"
"8433","Harvesting or agricultural machinery","Machinery and electrical","84","1.0282059904972","29","0.052632907131645","0.56334993417384","Excluded from relative universe"
"8434","Dairy machinery","Machinery and electrical","84","0.568350174828129","26","0.0530133955322349","0.528308873312329","Excluded from relative universe"
"8436","Other agricultural machinery","Machinery and electrical","84","0.929615699650301","25","0.053062076552301","0.549663577325322","Strategic bets"
"8438","Machinery for the industrial preparation of food or drink","Machinery and electrical","84","0.478684538132469","29","0.0523221854725587","0.514887922191149","Middle-range candidates"
"8439","Machinery for making paper","Machinery and electrical","84","1.40402764220954","15","0.0399722980847899","0.549767507700193","Transformational long shots"
"8441","Other machinery for making paper","Machinery and electrical","84","1.16188581030921","16","0.0414711603506719","0.54086304869432","Excluded from relative universe"
"8442","Machinery for making printing components","Machinery and electrical","84","0.954919363839075","29","0.0496800812545114","0.527724061737321","Excluded from relative universe"
"8444","Machines to extrude, cut manmade textile fibres","Machinery and electrical","84","2.35197116953721","6","0.0250870669054854","0.483609831734918","Excluded from relative universe"
"8445","Machines for preparing textile fibers","Machinery and electrical","84","1.16970252178513","8","0.0346105681331722","0.464068176384131","Excluded from relative universe"
"8449","Machinery to manufacture felt","Machinery and electrical","84","1.38908480693015","7","0.0350327448330716","0.458925297105137","Middle-range candidates"
"8451","Machinery for processing fabrics","Machinery and electrical","84","0.985433485610122","18","0.0442527411657892","0.519638745634469","Excluded from relative universe"
"8454","Machines used in metallurgy","Machinery and electrical","84","1.58455583132256","15","0.0349888970418849","0.533393931817712","Excluded from relative universe"
"8455","Metal-rolling mills","Machinery and electrical","84","0.996056580956278","16","0.0419343183051023","0.526070533471178","Transformational long shots"
"8456","Machines for working materials by laser and similar means","Machinery and electrical","84","2.05623031540113","14","0.0305440157124665","0.54156573541723","Excluded from relative universe"
"8457","Machining centers for working metal","Machinery and electrical","84","1.9796378413362","12","0.0306050379147304","0.512095661375549","Excluded from relative universe"
